"protocol_version","suite","instance","n","distance_type","segment","variant","engine_mode","run","seed","config_hash","best_length","bks","deviation_percent","ga_best_length","timing_valid","path_length_evaluations","distance_lookups","ga_path_evaluations","solver_path_evaluations","three_opt_path_evaluations","tour_constructions","two_opt_calls","two_opt_move_evaluations","two_opt_improvements","three_opt_calls","three_opt_candidate_evaluations","three_opt_improvements","local_search_evaluations","ga_generations","preprocessing_seconds","initialization_seconds","solver_seconds","local_search_seconds","total_seconds","switch_iteration","switch_reason"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-120-170","hybrid_v4_2","2","20360903","013b693c9e62bb8b","14379","14379","0","16012","false","34051","634850739","8850","25201","0","25200","2400","25030320","36725","600","88525684","2092","113556004","58","0.0137127000052715","6.0713892000058","452.052199600002","381.441714600078","458.137617100001","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-140-170","hybrid_v4_2","1","20360902","6ae93ed3cfd802f1","14379","14379","0","16615","false","27901","683404337","2700","25201","0","25200","2400","26432297","39317","600","95790924","2268","122223221","17","0.0163122000085423","1.78294019999157","479.592086599994","408.70216500001","481.391656699998","87","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-120-170","hybrid_v4_2","1","20360902","013b693c9e62bb8b","14379","14379","0","16615","false","27901","683404337","2700","25201","0","25200","2400","26432297","39317","600","95790924","2268","122223221","17","0.00966619999962859","1.94677019999654","480.488793500001","410.075215399993","482.445468499995","87","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","medium","MSA-boundaries-100-170","hybrid_v4_2","1","20360902","578dda65bdf06f1b","14379","14379","0","16615","false","27901","969399507","2700","25201","0","25200","2100","23770929","36239","900","145231031","3777","169001960","17","0.0164507000008598","1.92970730000525","640.542104399996","570.747384900053","642.488585400002","81","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-140-170","hybrid_v4_2","2","20360903","6ae93ed3cfd802f1","14379","14379","0","16012","false","34051","634850739","8850","25201","0","25200","2400","25030320","36725","600","88525684","2092","113556004","58","0.0115269999951124","5.52629580000939","456.763233899997","385.349946500035","462.30131889999","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-120-170","hybrid_v4_2","3","20360904","013b693c9e62bb8b","14379","14379","0","15941","false","35401","661262567","10200","25201","0","25200","2400","25640654","37853","600","92497141","2170","118137795","67","0.0164990000048419","6.35758520000672","473.322775199995","401.663970299938","479.69723060001","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","medium","MSA-boundaries-100-170","hybrid_v4_2","2","20360903","578dda65bdf06f1b","14379","14379","0","16012","false","34051","930519573","8850","25201","0","25200","2100","23949294","36522","900","138524507","3417","162473801","58","0.0164530000038212","5.13600640000368","630.318215299994","558.844844799925","635.471246000001","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","medium","MSA-boundaries-100-170","hybrid_v4_2","3","20360904","578dda65bdf06f1b","14379","14379","0","15941","false","35401","908921561","10200","25201","0","25200","2100","21124430","30820","900","136784456","3009","157908886","67","0.0156099000014365","5.60823620000156","594.908880300005","526.943103899815","600.532964999991","83","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-140-170","hybrid_v4_2","3","20360904","6ae93ed3cfd802f1","14379","14379","0","15941","false","35401","661262567","10200","25201","0","25200","2400","25640654","37853","600","92497141","2170","118137795","67","0.0134608999942429","6.03856660000747","395.1488599","335.030989499995","401.201128100001","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-120-170","hybrid_v4_2","4","20360905","013b693c9e62bb8b","14379","14379","0","16935","false","27601","647487083","2400","25201","0","25200","2400","24622085","36880","600","91016773","2081","115638858","15","0.0118266999925254","1.42929579998599","386.760231799999","328.263104299971","388.201597099993","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-140-170","hybrid_v4_2","4","20360905","6ae93ed3cfd802f1","14379","14379","0","16935","false","27601","647487083","2400","25201","0","25200","2400","24622085","36880","600","91016773","2081","115638858","15","0.00766550000116695","1.059737699994","295.901540699997","251.249404300048","296.969153999991","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","medium","MSA-boundaries-100-170","hybrid_v4_2","4","20360905","578dda65bdf06f1b","14379","14379","0","16935","false","27601","982418633","2400","25201","0","25200","2100","25694894","39466","900","146123492","3950","171818386","15","0.0164788999973098","1.32571799999278","452.302391200006","403.11907130004","453.645642000003","81","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-120-170","hybrid_v4_2","5","20360906","013b693c9e62bb8b","14379","14379","0","15897","false","32701","684767947","7500","25201","0","25200","2400","26874460","40223","600","95639417","2217","122513877","49","0.00894230000267271","2.79027929999575","307.736275299991","262.70421150024","310.536732000008","81","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","medium","MSA-boundaries-100-170","hybrid_v4_2","5","20360906","578dda65bdf06f1b","14379","14379","0","15897","false","32701","915405287","7500","25201","0","25200","2100","22906082","34500","900","136724559","3226","159630641","49","0.00688700001046527","2.68097899999702","404.1509009","357.070821000132","406.839061800012","77","entropy_trigger"
"protocol-1.1","boundary","lin105.tsp","105","EUC_2D","small","MSA-boundaries-140-170","hybrid_v4_2","5","20360906","6ae93ed3cfd802f1","14379","14379","0","15897","false","32701","684767947","7500","25201","0","25200","2400","26874460","40223","600","95639417","2217","122513877","49","0.00721569999586791","2.69030949998705","348.475061400008","297.074093399933","351.172829200004","81","entropy_trigger"
