protocol_version,suite,instance,n,distance_type,segment,variant,engine_mode,run,seed,config_hash,best_length,bks,deviation_percent,ga_best_length,path_length_evaluations,distance_lookups,ga_path_evaluations,solver_path_evaluations,three_opt_path_evaluations,tour_constructions,two_opt_calls,two_opt_move_evaluations,two_opt_improvements,three_opt_calls,three_opt_candidate_evaluations,three_opt_improvements,local_search_evaluations,ga_generations,preprocessing_seconds,initialization_seconds,solver_seconds,local_search_seconds,total_seconds,switch_iteration,switch_reason
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,1,20360902,00083bc347086e7a,26550,26524,0.0980244307042678,31479,38401,3359068664,2400,36001,0,36000,3000,99392861,118900,1200,492622845,15297,592015706,15,0.0251352000050247,2.09610149997752,2307.6703188,2120.66992420008,2309.79630280001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,2,20360903,00083bc347086e7a,26596,26524,0.271452269642588,31479,38401,3333416328,2400,36001,0,36000,3000,99758220,119759,1200,488103883,15910,587862103,15,0.0266470999922603,2.16408539999975,2293.90334699998,2107.89863460002,2296.09900329998,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,3,20360904,00083bc347086e7a,26602,26524,0.294073292112804,31447,41551,3392896882,5550,36001,0,36000,3000,99914851,119030,1200,497834138,15722,597748989,36,0.0324203000054695,5.22256310001831,2330.71945130001,2146.4512980998,2335.97927069999,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,4,20360905,00083bc347086e7a,26590,26524,0.248831247172372,31365,40051,3291097564,4050,36001,0,36000,3000,99955738,120242,1200,480877827,15505,580833565,26,0.0321789000008721,3.77952559999539,2300.84268680002,2113.8626366001,2304.65718910002,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,5,20360906,00083bc347086e7a,26595,26524,0.267682099230885,31479,38401,3253846540,2400,36001,0,36000,3000,100776361,120774,1200,474163491,14372,574939852,15,0.0324283999798354,2.40441440002178,2257.6421767,2074.13051889988,2260.08293509998,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,6,20360907,00083bc347086e7a,26613,26524,0.335545166641532,31479,38401,3319077176,2400,36001,0,36000,3000,98312831,118744,1200,486677617,15425,584990448,15,0.0322905000066385,2.26738040000782,2253.37961920002,2071.83968389989,2255.68052719999,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,7,20360908,00083bc347086e7a,26590,26524,0.248831247172372,31086,42451,3375187984,6450,36001,0,36000,3000,101382376,120705,1200,493881805,15741,595264181,42,0.0337081000034232,6.09417029999895,2281.62787289999,2101.24084909985,2287.75705059999,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,8,20360909,00083bc347086e7a,26640,26524,0.437339767757503,31750,40201,3379422186,4200,36001,0,36000,3000,101656419,121242,1200,494461060,15633,596117479,27,0.0250609000213444,3.91876810000394,2275.83196370001,2097.46135969978,2279.7768775,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,9,20360910,00083bc347086e7a,26624,26524,0.377017041170261,31354,40801,3414710832,4800,36001,0,36000,3000,100227231,120439,1200,501280293,15643,601507524,31,0.0318135999841616,4.43621360001271,2248.25337260001,2071.25736560035,2252.7221136,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,10,20360911,00083bc347086e7a,26554,26524,0.113105112351078,31479,38401,3316956410,2400,36001,0,36000,3000,101723312,121541,1200,484050502,14900,585773814,15,0.0319514999864623,2.20256620002328,2234.21544300002,2054.6927418999,2236.45121470001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,11,20360912,00083bc347086e7a,26590,26524,0.248831247172372,31342,41701,3371518208,5700,36001,0,36000,3000,99998198,120408,1200,494211711,15691,594209909,37,0.0322646000131499,5.35690799998702,2272.83926459998,2093.71338450004,2278.22918530001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,12,20360913,00083bc347086e7a,26683,26524,0.599457095460715,31262,38701,3317125464,2700,36001,0,36000,3000,99752601,118382,1200,485384985,15127,585137586,17,0.0298555000044871,2.53059830001439,2317.53584869998,2127.4592890999,2320.0979663,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,13,20360914,00083bc347086e7a,26616,26524,0.34685567787664,31479,38401,3384926336,2400,36001,0,36000,3000,100909847,119900,1200,495921133,15662,596830980,15,0.0312723999959417,2.27768239998841,2425.43407419999,2229.68870660008,2427.74427180001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,14,20360915,00083bc347086e7a,26630,26524,0.399638063640477,31497,41551,3285418530,5550,36001,0,36000,3000,99366564,118902,1200,480286604,14587,579653168,36,0.0315180000034161,5.62272380001377,2370.05895089998,2173.91646880031,2375.71467260001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,15,20360916,00083bc347086e7a,26550,26524,0.0980244307042678,31436,38551,3292801476,2550,36001,0,36000,3000,101372832,120120,1200,480254583,15098,581627415,16,0.0369261000014376,2.63201750000007,2041.68119499998,1873.85722590017,2044.3512261,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,1,20360902,9b7068053b0b6aac,26655,26524,0.493892323933042,31479,38401,3331445464,2400,36001,0,36000,3000,100142086,120777,1200,487519495,15349,587661581,15,0.0272125999908894,2.11825910001062,2315.62705010001,2126.3638175001,2317.77629169999,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,2,20360903,9b7068053b0b6aac,26580,26524,0.211129543055346,31479,38401,3315197720,2400,36001,0,36000,3000,100987799,121866,1200,484247729,15550,585235528,15,0.0312367999868002,2.13408930000151,2272.87245940001,2086.53341639997,2275.0410917,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,3,20360904,9b7068053b0b6aac,26604,26524,0.301613632936209,31447,41551,3348416174,5550,36001,0,36000,3000,101313401,122339,1200,489488320,15567,590801721,36,0.0320813999860547,5.26610139998957,2302.92774760001,2117.14923779992,2308.22845379999,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,4,20360905,9b7068053b0b6aac,26565,26524,0.154576986879807,31365,40051,3317936846,4050,36001,0,36000,3000,102325853,124261,1200,483770964,15620,586096817,26,0.0347096999757923,3.93653830001131,2314.430937,2126.63978939984,2318.40410719998,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,5,20360906,9b7068053b0b6aac,26654,26524,0.490122153521339,31479,38401,3291880560,2400,36001,0,36000,3000,103034235,124472,1200,478997245,15266,582031480,15,0.023915500001749,2.35710039999685,2254.66463769999,2071.72838199988,2257.04878369998,105,fixed_control
