instance,algorithm,runs,bks,best,mean,std_sample,best_deviation_percent,mean_error_percent
a280.tsp,ACS,10,2579.0,2994.0,3013.2,11.48719093406023,16.091508336564562,16.835982939123685
a280.tsp,MMAS,10,2579.0,2902.0,2934.9,18.621671962169955,12.524234199302056,13.799922450562239
a280.tsp,MSA-ACO,10,2579.0,2600.0,2605.1,4.175324338699131,0.8142690965490499,1.0120201628538157
att48.tsp,ACS,10,33522.0,33599.0,33977.7,265.471927789822,0.22969989857407075,1.3594057633792647
att48.tsp,MMAS,10,33522.0,35195.0,35746.8,433.0449809841416,4.9907523417457185,6.636835511007705
att48.tsp,MSA-ACO,10,33522.0,33522.0,33522.0,0.0,0.0,0.0
bayg29.tsp,ACS,10,1610.0,1634.0,1649.6,10.068653225619492,1.4906832298136645,2.459627329192541
bayg29.tsp,MMAS,10,1610.0,1670.0,1704.1,18.033610595527204,3.7267080745341614,5.844720496894404
bayg29.tsp,MSA-ACO,10,1610.0,1610.0,1610.0,0.0,0.0,0.0
berlin52.tsp,ACS,10,7542.0,7547.0,7719.6,90.4657086660158,0.06629541235746486,2.3548130469371564
berlin52.tsp,MMAS,10,7542.0,7547.0,7651.3,78.39366471001766,0.06629541235746486,1.4492177141341842
berlin52.tsp,MSA-ACO,10,7542.0,7542.0,7542.0,0.0,0.0,0.0
bier127.tsp,ACS,10,118282.0,121247.0,123175.6,1053.7256864204376,2.5067212255457294,4.137231362337469
bier127.tsp,MMAS,10,118282.0,123317.0,123860.1,447.8061212424661,4.256776178962141,4.715933109010674
bier127.tsp,MSA-ACO,10,118282.0,118282.0,118401.9,106.30192848674008,0.0,0.1013679173500568
burma14.tsp,ACS,10,3323.0,3336.0,3339.5,11.067971810589327,0.39121275955461937,0.4965392717424014
burma14.tsp,MMAS,10,3323.0,3336.0,3336.0,0.0,0.39121275955461937,0.39121275955461937
burma14.tsp,MSA-ACO,10,3323.0,3323.0,3323.0,0.0,0.0,0.0
