"protocol_version","suite","instance","n","distance_type","segment","variant","engine_mode","run","seed","config_hash","best_length","bks","deviation_percent","ga_best_length","timing_valid","path_length_evaluations","distance_lookups","ga_path_evaluations","solver_path_evaluations","three_opt_path_evaluations","tour_constructions","two_opt_calls","two_opt_move_evaluations","two_opt_improvements","three_opt_calls","three_opt_candidate_evaluations","three_opt_improvements","local_search_evaluations","ga_generations","preprocessing_seconds","initialization_seconds","solver_seconds","local_search_seconds","total_seconds","completed_iterations","distance_budget","distance_budget_overshoot","switch_iteration","switch_reason"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","ACS-based+LS","acs_end_seq","1","20360902","94cc7f4903aa91b8","7013.0","7013","0.0","nan","True","3626","6535022","0","3626","0","3625","435","112830","230","145","1000655","12","1113485","0","0.002722900011576712","0.00014319998444989324","3.626084300049115","2.342033200140577","3.6300678999978118","145","6500000","35022","-1","not_applicable"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","MMAS-based+LS","mmas","1","20360902","4721959740e9440d","7013.0","7013","0.0","nan","True","3401","6514168","0","3401","0","3400","408","130790","451","136","986031","56","1116821","0","0.0012016999535262585","3.15000070258975e-05","3.4258567999931984","2.2780589003814384","3.4274723999551497","136","6500000","14168","-1","not_applicable"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","MSA-ACO","hybrid_v4_2","1","20360902","a456befbcec255e5","7013.0","7013","0.0","7275.000000000001","True","7226","6520918","4200","3026","0","3025","363","202427","1210","121","925373","95","1127800","27","0.0013521999935619533","0.37501129996962845","3.4214734000270255","2.355756500037387","3.7981945000356063","121","6500000","20918","52","entropy_trigger"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","ACS-based+LS","acs_end_seq","2","20360903","94cc7f4903aa91b8","7013.0","7013","0.0","nan","True","3601","6509130","0","3601","0","3600","432","111107","192","144","997580","10","1108687","0","0.0015224000089801848","5.329999839887023e-05","3.636903100006748","2.339235000195913","3.6387814999907278","144","6500000","9130","-1","not_applicable"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","MMAS-based+LS","mmas","2","20360903","4721959740e9440d","7013.0","7013","0.0","nan","True","3376","6534038","0","3376","0","3375","405","134953","502","135","986659","44","1121612","0","0.001921100018080324","4.7200010158121586e-05","3.528392900014296","2.355421800224576","3.530745800002478","135","6500000","34038","-1","not_applicable"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","MSA-ACO","hybrid_v4_2","2","20360903","a456befbcec255e5","7013.0","7013","0.0","7564.0","True","11101","6535162","7800","3301","0","3300","396","132780","528","132","959970","47","1092750","51","0.0017485000425949693","0.7038404999766499","3.4232486999826506","2.2567498000571504","4.129234799998812","132","6500000","35162","47","entropy_trigger"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","ACS-based+LS","acs_end_seq","3","20360904","94cc7f4903aa91b8","7013.0","7013","0.0","nan","True","3601","6526598","0","3601","0","3600","432","117784","277","144","996040","10","1113824","0","0.0013764000032097101","4.950002767145634e-05","3.692135299963411","2.4061305997311138","3.693800700013526","144","6500000","26598","-1","not_applicable"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","MMAS-based+LS","mmas","3","20360904","4721959740e9440d","7013.0","7013","0.0","nan","True","3251","6540186","0","3251","0","3250","390","115780","346","130","1000924","71","1116704","0","0.0015546000213362277","4.079996142536402e-05","3.499554000038188","2.382155200233683","3.5014644999755546","130","6500000","40186","-1","not_applicable"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","MSA-ACO","hybrid_v4_2","3","20360904","a456befbcec255e5","7013.0","7013","0.0","7082.999999999999","True","7526","6504320","4200","3326","0","3325","399","161934","766","133","948502","33","1110436","27","0.0013622999540530145","0.3706969000049867","3.561136699980125","2.351637400162872","3.933556000003591","133","6500000","4320","56","entropy_trigger"
"protocol-1.1","fairness_fixed_budget","ulysses22.tsp","22","GEO","small","ACS-based+LS","acs_end_seq","4","20360905","94cc7f4903aa91b8","7013.0","7013","0.0","nan","True","3601","6510236","0","3601","0","3600","432","115438","256","144","994877","18","1110315","0","0.0017509000026620924","7.280003046616912e-05","3.6650557000539266","2.3782375006121583","3.6673639999935403","144","6500000","10236","-1","not_applicable"
