tag,instance,dimension,bks,sha256,edge_weight_type,edge_weight_format
1,burma14.tsp,14,3323,c2f10b100ad1a00bba19094e33ab3c05fb50203352151e23252eba6f85d5c3e7,GEO,
2,ulysses22.tsp,22,7013,5d78d3131b51d4130c28495ecc558da9208fbb9a8f4f7d38535421371ba79898,GEO,
3,bayg29.tsp,29,1610,6b6a501a2a4933e9b6614f905b79e1d3f9e5093a56ef0d3deaf8fbf440a17a3b,EXPLICIT,UPPER_ROW
4,swiss42.tsp,42,1273,0dbcd4742ec894c70135c5873cbb06f49a643bdd6efbb755f8e02aa9faad8da4,EXPLICIT,FULL_MATRIX
5,att48.tsp,48,33522,e6f6828850fc696ba28c4094579cfcc74282b95fe18f86405f1a6857a37e67e5,EUC_2D,
6,eil51.tsp,51,426,66c05ad077ffd64d5778e358bbd16be049f8c8ae880cbd24f034487331d1ccce,EUC_2D,
7,berlin52.tsp,52,7542,8496a5838133e3c3eb25a9fa8893b1ac302593fc8dc325350643a0cabd8abadc,EUC_2D,
8,st70.tsp,70,675,60c09e8886609bf22d6dc699fe7d7aa1924207d084578aad1a377ec65cf15b1b,EUC_2D,
9,eil76.tsp,76,538,74a81d109969e0e46ecc62ff9bd051bfce36b508326bfcd22168e58d03af2447,EUC_2D,
10,rat99.tsp,99,1211,f880e9afe0b655b5b0deae0b8835a5b48622172e28a1c1fc9bf70100cb97b46a,EUC_2D,
11,kroA100.tsp,100,21282,e103100c1cf31dfc06be95a9d04011b5a8753bb65a3339594ca34404e574bdf5,EUC_2D,
12,kroB100.tsp,100,22141,283d8c912e3334deea76cc9fe95e915d09111979e7753d0affaf14d9aa21cdbe,EUC_2D,
13,kroC100.tsp,100,20749,aef750b8051e011df3b0fae21f4d71273cf129bcf7f2a9b697c2406bcaec68d2,EUC_2D,
14,kroD100.tsp,100,21294,e2297d9c40abc8341792e7b785e7a9c04ed21dfda0c667d9388888b4ba8cb52d,EUC_2D,
15,kroE100.tsp,100,22068,de5a20663b3903407150d1798c9be517d2df2030d7a910ddc9fc3c024a5c3bb4,EUC_2D,
16,eil101.tsp,101,629,537eb4836839ec6e4ff02fb9ca6833fa083a398b5fbb076b05954f0cbb7053c4,EUC_2D,
17,lin105.tsp,105,14379,8d34cafef4279bf6ab077a5c5c75bc4757a509f9cbbfd42f7e3170a5e280e1cb,EUC_2D,
18,pr107.tsp,107,44303,e0d774d2e853fbb1a507f06e8aa83e625690edc29866268e970471ea6febf65b,EUC_2D,
19,bier127.tsp,127,118282,a4c944ca4b32fc9facd00ab664e47ebc37853f4349b971e5094cea4215ff71da,EUC_2D,
20,ch130.tsp,130,6110,b9304715dff0085925598a51f36c24b7cf390cb991bd8262f061dd7497bd8742,EUC_2D,
21,gr137.tsp,137,69853,71bbef1e0f21ef9f130ef4ec0cfec86b9cbbdf7f202cbaaf526ea1bf9370c090,GEO,
22,ch150.tsp,150,6528,05abd424f773269b13477d367e534797aac080fb536a28074a72a9c0ba8064f5,EUC_2D,
23,kroB150.tsp,150,26130,f6c573fc55f60d90573f09cee01c0c6e09eef87f1315ac8fb6cd2719a1cfd468,EUC_2D,
24,kroA150.tsp,150,26524,acfeddc0cf4dd78ae69dd0c379b52b4031a4a8daa61a0cab3f46c1e3e2a616ba,EUC_2D,
25,d198.tsp,198,15780,d4383f7a91eabb83f8b1be9b4b7bf98bf15f8c87851ad99e6aa6719046d414df,EUC_2D,
26,kroA200.tsp,200,29368,fd1f7640e823286826796bfccd103787c25f0b52e7275fae7eabf286303c0cbe,EUC_2D,
27,kroB200.tsp,200,29437,baa5fbfda220b226623cad864e30feb180889d4fff430332667eae0e726799d2,EUC_2D,
28,gr202.tsp,202,40160,3b40933cfe56c6337a30f67782024d1499ee861d99b2f338017147867f251bae,GEO,
29,ts225.tsp,225,126643,efbb94f391a03df97fc46492e02d8756dc8a8c9fb6a98b4b74fbb6dedbc25913,EUC_2D,
30,pr226.tsp,226,80369,06e9aa41740da7db7f5058ba4cfd0302e9fe95ebc7d769c6610407f162ba16b9,EUC_2D,
31,gil262.tsp,262,2378,662dac76952a676c709d250b124e689ce6b85782c7c595e8b9666217aaae9b65,EUC_2D,
32,pr264.tsp,264,49135,af8238a6cc962d77d50d4d8b3f0c9099fe972f7858994ef8cf4ccb2d31b2e6c0,EUC_2D,
33,a280.tsp,280,2579,7467a884045fc9dc47d22aa0ff2f420d38c79adb2402496fb53f3f78d9f17dca,EUC_2D,
34,pr299.tsp,299,48191,5d6f56b38a570e6cb30742b5ef112026f18600828a80993c3f047d20760d976f,EUC_2D,
35,lin318.tsp,318,42029,0de63cddb2a3ae9b10f3eaee4390ece107e2355445cdb5240db65a90eb1fe5fc,EUC_2D,
