tag,instance,bks,ACS_best,ACS_deviation_percent,MMAS_best,MMAS_deviation_percent,MSA-ACO_best,MSA-ACO_deviation_percent,source
1,burma14.tsp,3323,3336,0.39,3336,0.39,3323,0,Manuscript 35-instance main-results table
2,ulysses22.tsp,7013,7045,0.46,7013,0,7013,0,Manuscript 35-instance main-results table
3,bayg29.tsp,1610,1634,1.49,1670,3.73,1610,0,Manuscript 35-instance main-results table
4,swiss42.tsp,1273,1273,0,1293,1.57,1273,0,Manuscript 35-instance main-results table
5,att48.tsp,33522,33599,0.23,35195,4.99,33522,0,Manuscript 35-instance main-results table
6,eil51.tsp,426,428,0.47,438,2.82,426,0,Manuscript 35-instance main-results table
7,berlin52.tsp,7542,7547,0.07,7547,0.07,7542,0,Manuscript 35-instance main-results table
8,st70.tsp,675,682,1.04,703,4.15,675,0,Manuscript 35-instance main-results table
9,eil76.tsp,538,542,0.74,560,4.09,538,0,Manuscript 35-instance main-results table
10,rat99.tsp,1211,1222,0.91,1289,6.44,1211,0,Manuscript 35-instance main-results table
11,kroA100.tsp,21282,21666,1.80,22503,5.74,21282,0,Manuscript 35-instance main-results table
12,kroB100.tsp,22141,22375,1.06,22499,1.62,22141,0,Manuscript 35-instance main-results table
13,kroC100.tsp,20749,20943,0.93,21396,3.12,20749,0,Manuscript 35-instance main-results table
14,kroD100.tsp,21294,21710,1.95,22290,4.68,21294,0,Manuscript 35-instance main-results table
15,kroE100.tsp,22068,22349,1.27,23192,5.09,22068,0,Manuscript 35-instance main-results table
16,eil101.tsp,629,642,2.07,690,9.70,629,0,Manuscript 35-instance main-results table
17,lin105.tsp,14379,14489,0.77,14788,2.84,14379,0,Manuscript 35-instance main-results table
18,pr107.tsp,44303,45626,2.99,45488,2.67,44303,0,Manuscript 35-instance main-results table
19,bier127.tsp,118282,121247,2.51,123317,4.26,118282,0,Manuscript 35-instance main-results table
20,ch130.tsp,6110,6228,1.93,6364,4.16,6115,0.08,Manuscript 35-instance main-results table
21,gr137.tsp,69853,70309,0.65,73840,5.71,69856,<0.01,Manuscript 35-instance main-results table
22,ch150.tsp,6528,6694,2.54,6761,3.57,6528,0,Manuscript 35-instance main-results table
23,kroB150.tsp,26130,27461,5.09,27986,7.10,26160,0.11,Manuscript 35-instance main-results table
24,kroA150.tsp,26524,28643,7.99,27870,5.07,26601,0.29,Manuscript 35-instance main-results table
25,d198.tsp,15780,16842,6.73,16447,4.23,15849,0.44,Manuscript 35-instance main-results table
26,kroA200.tsp,29368,31344,6.73,31783,8.22,29368,0,Manuscript 35-instance main-results table
27,kroB200.tsp,29437,32085,9,32803,11.43,29559,0.41,Manuscript 35-instance main-results table
28,gr202.tsp,40160,44457,10.70,43624,8.63,40648,1.22,Manuscript 35-instance main-results table
29,ts225.tsp,126643,131689,3.98,131576,3.90,126643,0,Manuscript 35-instance main-results table
30,pr226.tsp,80369,85668,6.59,84004,4.52,80444,0.09,Manuscript 35-instance main-results table
31,gil262.tsp,2378,2604,9.50,2556,7.49,2394,0.67,Manuscript 35-instance main-results table
32,pr264.tsp,49135,52038,5.91,52282,6.40,49189,0.11,Manuscript 35-instance main-results table
33,a280.tsp,2579,2994,16.09,2902,12.52,2600,0.81,Manuscript 35-instance main-results table
34,pr299.tsp,48191,53779,11.60,54404,12.89,48454,0.55,Manuscript 35-instance main-results table
35,lin318.tsp,42029,45877,9.16,46509,10.66,42522,1.17,Manuscript 35-instance main-results table
