tag,instance,algorithm,bks,reported_best,reported_deviation_percent,source
1,burma14.tsp,ACS,3323,3336,0.39,Manuscript 35-instance main-results table
1,burma14.tsp,MMAS,3323,3336,0.39,Manuscript 35-instance main-results table
1,burma14.tsp,MSA-ACO,3323,3323,0,Manuscript 35-instance main-results table
2,ulysses22.tsp,ACS,7013,7045,0.46,Manuscript 35-instance main-results table
2,ulysses22.tsp,MMAS,7013,7013,0,Manuscript 35-instance main-results table
2,ulysses22.tsp,MSA-ACO,7013,7013,0,Manuscript 35-instance main-results table
3,bayg29.tsp,ACS,1610,1634,1.49,Manuscript 35-instance main-results table
3,bayg29.tsp,MMAS,1610,1670,3.73,Manuscript 35-instance main-results table
3,bayg29.tsp,MSA-ACO,1610,1610,0,Manuscript 35-instance main-results table
4,swiss42.tsp,ACS,1273,1273,0,Manuscript 35-instance main-results table
4,swiss42.tsp,MMAS,1273,1293,1.57,Manuscript 35-instance main-results table
4,swiss42.tsp,MSA-ACO,1273,1273,0,Manuscript 35-instance main-results table
5,att48.tsp,ACS,33522,33599,0.23,Manuscript 35-instance main-results table
5,att48.tsp,MMAS,33522,35195,4.99,Manuscript 35-instance main-results table
5,att48.tsp,MSA-ACO,33522,33522,0,Manuscript 35-instance main-results table
6,eil51.tsp,ACS,426,428,0.47,Manuscript 35-instance main-results table
6,eil51.tsp,MMAS,426,438,2.82,Manuscript 35-instance main-results table
6,eil51.tsp,MSA-ACO,426,426,0,Manuscript 35-instance main-results table
7,berlin52.tsp,ACS,7542,7547,0.07,Manuscript 35-instance main-results table
7,berlin52.tsp,MMAS,7542,7547,0.07,Manuscript 35-instance main-results table
7,berlin52.tsp,MSA-ACO,7542,7542,0,Manuscript 35-instance main-results table
8,st70.tsp,ACS,675,682,1.04,Manuscript 35-instance main-results table
8,st70.tsp,MMAS,675,703,4.15,Manuscript 35-instance main-results table
8,st70.tsp,MSA-ACO,675,675,0,Manuscript 35-instance main-results table
9,eil76.tsp,ACS,538,542,0.74,Manuscript 35-instance main-results table
9,eil76.tsp,MMAS,538,560,4.09,Manuscript 35-instance main-results table
9,eil76.tsp,MSA-ACO,538,538,0,Manuscript 35-instance main-results table
10,rat99.tsp,ACS,1211,1222,0.91,Manuscript 35-instance main-results table
10,rat99.tsp,MMAS,1211,1289,6.44,Manuscript 35-instance main-results table
10,rat99.tsp,MSA-ACO,1211,1211,0,Manuscript 35-instance main-results table
11,kroA100.tsp,ACS,21282,21666,1.80,Manuscript 35-instance main-results table
11,kroA100.tsp,MMAS,21282,22503,5.74,Manuscript 35-instance main-results table
11,kroA100.tsp,MSA-ACO,21282,21282,0,Manuscript 35-instance main-results table
12,kroB100.tsp,ACS,22141,22375,1.06,Manuscript 35-instance main-results table
12,kroB100.tsp,MMAS,22141,22499,1.62,Manuscript 35-instance main-results table
12,kroB100.tsp,MSA-ACO,22141,22141,0,Manuscript 35-instance main-results table
13,kroC100.tsp,ACS,20749,20943,0.93,Manuscript 35-instance main-results table
13,kroC100.tsp,MMAS,20749,21396,3.12,Manuscript 35-instance main-results table
13,kroC100.tsp,MSA-ACO,20749,20749,0,Manuscript 35-instance main-results table
14,kroD100.tsp,ACS,21294,21710,1.95,Manuscript 35-instance main-results table
14,kroD100.tsp,MMAS,21294,22290,4.68,Manuscript 35-instance main-results table
14,kroD100.tsp,MSA-ACO,21294,21294,0,Manuscript 35-instance main-results table
15,kroE100.tsp,ACS,22068,22349,1.27,Manuscript 35-instance main-results table
15,kroE100.tsp,MMAS,22068,23192,5.09,Manuscript 35-instance main-results table
15,kroE100.tsp,MSA-ACO,22068,22068,0,Manuscript 35-instance main-results table
16,eil101.tsp,ACS,629,642,2.07,Manuscript 35-instance main-results table
16,eil101.tsp,MMAS,629,690,9.70,Manuscript 35-instance main-results table
16,eil101.tsp,MSA-ACO,629,629,0,Manuscript 35-instance main-results table
