instance,algorithm,run,base_seed,derived_seed,seed_scheme
burma14.tsp,ACS,1,20251110,20262111,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,2,20251110,20262112,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,3,20251110,20262113,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,4,20251110,20262114,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,5,20251110,20262115,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,6,20251110,20262116,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,7,20251110,20262117,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,8,20251110,20262118,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,9,20251110,20262119,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,ACS,10,20251110,20262120,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,1,20251110,20263111,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,2,20251110,20263112,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,3,20251110,20263113,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,4,20251110,20263114,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,5,20251110,20263115,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,6,20251110,20263116,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,7,20251110,20263117,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,8,20251110,20263118,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,9,20251110,20263119,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MMAS,10,20251110,20263120,base+instance_index*10000+algorithm_index*1000+run_index
burma14.tsp,MSA-ACO,1,20251110,20252110,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,2,20251110,20252111,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,3,20251110,20252112,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,4,20251110,20252113,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,5,20251110,20252114,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,6,20251110,20252115,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,7,20251110,20252116,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,8,20251110,20252117,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,9,20251110,20252118,base+instance_index*1000+run_index-1
burma14.tsp,MSA-ACO,10,20251110,20252119,base+instance_index*1000+run_index-1
ulysses22.tsp,ACS,1,20251110,20272111,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,2,20251110,20272112,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,3,20251110,20272113,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,4,20251110,20272114,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,5,20251110,20272115,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,6,20251110,20272116,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,7,20251110,20272117,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,8,20251110,20272118,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,9,20251110,20272119,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,ACS,10,20251110,20272120,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,1,20251110,20273111,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,2,20251110,20273112,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,3,20251110,20273113,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,4,20251110,20273114,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,5,20251110,20273115,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,6,20251110,20273116,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,7,20251110,20273117,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,8,20251110,20273118,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,9,20251110,20273119,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MMAS,10,20251110,20273120,base+instance_index*10000+algorithm_index*1000+run_index
ulysses22.tsp,MSA-ACO,1,20251110,20253110,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,2,20251110,20253111,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,3,20251110,20253112,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,4,20251110,20253113,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,5,20251110,20253114,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,6,20251110,20253115,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,7,20251110,20253116,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,8,20251110,20253117,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,9,20251110,20253118,base+instance_index*1000+run_index-1
ulysses22.tsp,MSA-ACO,10,20251110,20253119,base+instance_index*1000+run_index-1
bayg29.tsp,ACS,1,20251110,20282111,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,2,20251110,20282112,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,3,20251110,20282113,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,4,20251110,20282114,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,5,20251110,20282115,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,6,20251110,20282116,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,7,20251110,20282117,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,8,20251110,20282118,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,9,20251110,20282119,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,ACS,10,20251110,20282120,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,1,20251110,20283111,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,2,20251110,20283112,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,3,20251110,20283113,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,4,20251110,20283114,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,5,20251110,20283115,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,6,20251110,20283116,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,7,20251110,20283117,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,8,20251110,20283118,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,9,20251110,20283119,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MMAS,10,20251110,20283120,base+instance_index*10000+algorithm_index*1000+run_index
bayg29.tsp,MSA-ACO,1,20251110,20254110,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,2,20251110,20254111,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,3,20251110,20254112,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,4,20251110,20254113,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,5,20251110,20254114,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,6,20251110,20254115,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,7,20251110,20254116,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,8,20251110,20254117,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,9,20251110,20254118,base+instance_index*1000+run_index-1
bayg29.tsp,MSA-ACO,10,20251110,20254119,base+instance_index*1000+run_index-1
swiss42.tsp,ACS,1,20251110,20292111,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,2,20251110,20292112,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,3,20251110,20292113,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,4,20251110,20292114,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,5,20251110,20292115,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,6,20251110,20292116,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,7,20251110,20292117,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,8,20251110,20292118,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,9,20251110,20292119,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,ACS,10,20251110,20292120,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,1,20251110,20293111,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,2,20251110,20293112,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,3,20251110,20293113,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,4,20251110,20293114,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,5,20251110,20293115,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,6,20251110,20293116,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,7,20251110,20293117,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,8,20251110,20293118,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,9,20251110,20293119,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MMAS,10,20251110,20293120,base+instance_index*10000+algorithm_index*1000+run_index
swiss42.tsp,MSA-ACO,1,20251110,20255110,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,2,20251110,20255111,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,3,20251110,20255112,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,4,20251110,20255113,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,5,20251110,20255114,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,6,20251110,20255115,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,7,20251110,20255116,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,8,20251110,20255117,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,9,20251110,20255118,base+instance_index*1000+run_index-1
swiss42.tsp,MSA-ACO,10,20251110,20255119,base+instance_index*1000+run_index-1
att48.tsp,ACS,1,20251110,20302111,base+instance_index*10000+algorithm_index*1000+run_index
att48.tsp,ACS,2,20251110,20302112,base+instance_index*10000+algorithm_index*1000+run_index
att48.tsp,ACS,3,20251110,20302113,base+instance_index*10000+algorithm_index*1000+run_index
