TSP,Budget,Algorithm,Run,BestLength,AvgTime(s),BKS,Dev(%),Segment,NumCities,MaxIterations,DistanceType,Seed
ch150.tsp,fixed_1000,GSH-ACO,1,6528.0,25142.414319992065,6528.0,0.0,medium,150,1000,EUC_2D,20283414
ch150.tsp,fixed_1000,GSH-ACO,2,6528.0,26308.575144529343,6528.0,0.0,medium,150,1000,EUC_2D,20283415
ch150.tsp,fixed_1000,GSH-ACO,3,6544.0,25591.60387158394,6528.0,0.24509803921568626,medium,150,1000,EUC_2D,20283416
ch150.tsp,fixed_1000,GSH-ACO,4,6528.0,26841.09983611107,6528.0,0.0,medium,150,1000,EUC_2D,20283417
ch150.tsp,fixed_1000,GSH-ACO,5,6544.0,26342.145451307297,6528.0,0.24509803921568626,medium,150,1000,EUC_2D,20283418
ch150.tsp,fixed_1000,GSH-ACO,6,6551.0,25327.095399856567,6528.0,0.35232843137254904,medium,150,1000,EUC_2D,20283419
ch150.tsp,fixed_1000,GSH-ACO,7,6538.0,26172.88782596588,6528.0,0.15318627450980393,medium,150,1000,EUC_2D,20283420
ch150.tsp,fixed_1000,GSH-ACO,8,6532.0,24313.861379146576,6528.0,0.061274509803921566,medium,150,1000,EUC_2D,20283421
ch150.tsp,fixed_1000,GSH-ACO,9,6551.0,25709.481797218323,6528.0,0.35232843137254904,medium,150,1000,EUC_2D,20283422
ch150.tsp,fixed_1000,GSH-ACO,10,6544.0,25496.272393226624,6528.0,0.24509803921568626,medium,150,1000,EUC_2D,20283423
ch150.tsp,segmented,GSH-ACO,1,6533.0,13138.893272638321,6528.0,0.07659313725490197,medium,150,300,EUC_2D,20283414
ch150.tsp,segmented,GSH-ACO,2,6554.0,13173.00998210907,6528.0,0.39828431372549017,medium,150,300,EUC_2D,20283415
ch150.tsp,segmented,GSH-ACO,3,6543.0,13541.976881504059,6528.0,0.22977941176470587,medium,150,300,EUC_2D,20283416
ch150.tsp,segmented,GSH-ACO,4,6554.0,13181.531115055084,6528.0,0.39828431372549017,medium,150,300,EUC_2D,20283417
ch150.tsp,segmented,GSH-ACO,5,6550.0,13109.239195108414,6528.0,0.33700980392156865,medium,150,300,EUC_2D,20283418
ch150.tsp,segmented,GSH-ACO,6,6532.0,12973.663127183914,6528.0,0.061274509803921566,medium,150,300,EUC_2D,20283419
ch150.tsp,segmented,GSH-ACO,7,6550.0,12948.787494182587,6528.0,0.33700980392156865,medium,150,300,EUC_2D,20283420
ch150.tsp,segmented,GSH-ACO,8,6558.0,12989.373992919922,6528.0,0.45955882352941174,medium,150,300,EUC_2D,20283421
ch150.tsp,segmented,GSH-ACO,9,6548.0,13058.526756286621,6528.0,0.30637254901960786,medium,150,300,EUC_2D,20283422
ch150.tsp,segmented,GSH-ACO,10,6554.0,13060.574599027634,6528.0,0.39828431372549017,medium,150,300,EUC_2D,20283423
eil76.tsp,fixed_1000,GSH-ACO,1,539.0,1572.271980047226,538.0,0.18587360594795538,small,76,1000,EUC_2D,20273414
eil76.tsp,fixed_1000,GSH-ACO,2,538.0,1819.7385530471802,538.0,0.0,small,76,1000,EUC_2D,20273415
eil76.tsp,fixed_1000,GSH-ACO,3,539.0,1744.1461265087128,538.0,0.18587360594795538,small,76,1000,EUC_2D,20273416
eil76.tsp,fixed_1000,GSH-ACO,4,538.0,1802.9093871116638,538.0,0.0,small,76,1000,EUC_2D,20273417
eil76.tsp,fixed_1000,GSH-ACO,5,538.0,1851.7157859802246,538.0,0.0,small,76,1000,EUC_2D,20273418
eil76.tsp,fixed_1000,GSH-ACO,6,538.0,1858.8122549057007,538.0,0.0,small,76,1000,EUC_2D,20273419
eil76.tsp,fixed_1000,GSH-ACO,7,539.0,1768.3262310028076,538.0,0.18587360594795538,small,76,1000,EUC_2D,20273420
eil76.tsp,fixed_1000,GSH-ACO,8,538.0,1845.5480740070343,538.0,0.0,small,76,1000,EUC_2D,20273421
