"protocol_version","suite","instance","n","distance_type","segment","variant","engine_mode","run","seed","config_hash","best_length","bks","deviation_percent","ga_best_length","timing_valid","path_length_evaluations","distance_lookups","ga_path_evaluations","solver_path_evaluations","three_opt_path_evaluations","tour_constructions","two_opt_calls","two_opt_move_evaluations","two_opt_improvements","three_opt_calls","three_opt_candidate_evaluations","three_opt_improvements","local_search_evaluations","ga_generations","preprocessing_seconds","initialization_seconds","solver_seconds","local_search_seconds","total_seconds","completed_iterations","distance_budget","distance_budget_overshoot","switch_iteration","switch_reason"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-ACO","hybrid_v4_2","1","20360902","5bf7fdb7b4f06017","7013.0","7013","0.0","7275.000000000001","True","7951","7789842","4200","3751","0","3750","450","220610","1210","150","1122080","95","1342690","27","0.001132400000187772","0.3558850999997958","3.3313484999998764","2.2962465999976303","3.688554600000316","150","0","0","52","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-GA-init","hybrid_v4_2","1","20360902","cb3ad1c3701888fd","7013.0","7013","0.0","nan","True","3751","8269184","0","3751","0","3750","450","195769","1010","150","1233931","167","1429700","0","0.0010124999998879503","2.5299999833805487e-05","3.4723550999997315","2.441758799996478","3.473565900000267","150","0","0","52","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-fixed-switch","hybrid_v4_2","1","20360902","61ba92a3430ed643","7013.0","7013","0.0","7275.000000000001","True","7951","7789578","4200","3751","0","3750","450","220544","1208","150","1122080","95","1342624","27","0.0011042999999517633","0.37312500000007276","3.2787572000002","2.251900499999465","3.6531276999999136","150","0","0","60","fixed_control"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-rank","hybrid_v4_2","1","20360902","b0e6bafb1c7ccca0","7013.0","7013","0.0","7275.000000000001","True","7951","7618266","4200","3751","0","3750","450","130676","336","150","1153440","60","1284116","27","0.0012246999999661057","0.3356411999998272","3.3729401999999027","2.287000800001806","3.710029399999712","150","0","0","52","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-2opt","hybrid_v4_2","1","20360902","78e723797ccf93fd","7013.0","7013","0.0","7275.000000000001","True","7951","6916582","4200","3751","0","3750","0","0","0","150","1123610","251","1123610","27","0.0010184000002482207","0.33449200000040946","3.047967299999982","1.9882922999986476","3.3836171999996623","150","0","0","54","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-3opt","hybrid_v4_2","1","20360902","11ac6c16f7b6eae0","7013.0","7013","0.0","7275.000000000001","True","7951","1161402","4200","3751","0","3750","450","246620","1539","0","0","0","246620","27","0.0012194999999337597","0.3285379999997531","1.3700533999999607","0.3453965000021526","1.7000140000000101","150","0","0","52","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-nonadaptive-3opt","hybrid_v4_2","1","20360902","7a1b9435f1a6bbf1","7013.0","7013","0.0","7275.000000000001","True","7951","7789842","4200","3751","0","3750","450","220610","1210","150","1122080","95","1342690","27","0.0011233000000174798","0.3196375999996235","3.2486573000001044","2.2173742000004495","3.569577300000219","150","0","0","52","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-scale-adaptation","hybrid_v4_2","1","20360902","018a8be4c8e2beb7","7013.0","7013","0.0","7275.000000000001","True","7951","7140826","4200","3751","0","3750","450","152364","521","150","1059408","34","1211772","27","0.0010155999998460175","0.3345705000001544","3.1436415000002853","2.090251399997669","3.479376400000092","150","0","0","47","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-ACO","hybrid_v4_2","2","20360903","5bf7fdb7b4f06017","7013.0","7013","0.0","7564.0","True","11551","7322770","7800","3751","0","3750","450","144066","528","150","1082064","47","1226130","51","0.001048200000241195","0.614396299999953","3.251967700000023","2.1729849999996986","3.8675498999996307","150","0","0","47","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-GA-init","hybrid_v4_2","2","20360903","cb3ad1c3701888fd","7013.0","7013","0.0","nan","True","3751","7827976","0","3751","0","3750","450","232560","1300","150","1135869","91","1368429","0","0.0011924000000362867","2.859999995052931e-05","3.7055936000001566","2.552501900001971","3.707127899999705","150","0","0","53","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-fixed-switch","hybrid_v4_2","2","20360903","61ba92a3430ed643","7013.0","7013","0.0","7564.0","True","11551","7322982","7800","3751","0","3750","450","144119","528","150","1082064","47","1226183","51","0.0013874999999643478","0.8008585000002313","3.648612999999841","2.4497210000031373","4.4511099000001195","150","0","0","60","fixed_control"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-rank","hybrid_v4_2","2","20360903","b0e6bafb1c7ccca0","7013.0","7013","0.0","7564.0","True","11551","6897490","7800","3751","0","3750","450","124806","307","150","1024024","10","1148830","51","0.0012385999998514308","0.6179238999998233","3.0217648999996527","1.9901027999981125","3.6411369000002196","150","0","0","47","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-2opt","hybrid_v4_2","2","20360903","78e723797ccf93fd","7013.0","7013","0.0","7564.0","True","11551","6944446","7800","3751","0","3750","0","0","0","150","1115054","244","1115054","51","0.0012313000001995533","0.6039112999997087","3.1727952999999616","2.0713645000014367","3.7781409999997777","150","0","0","47","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-3opt","hybrid_v4_2","2","20360903","11ac6c16f7b6eae0","7013.0","7013","0.0","7564.0","True","11551","830874","7800","3751","0","3750","450","144188","587","0","0","0","144188","51","0.0020360999997137696","0.9140684999997575","1.6104956000003767","0.26772970000274654","2.527027099999941","150","0","0","47","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-nonadaptive-3opt","hybrid_v4_2","2","20360903","7a1b9435f1a6bbf1","7013.0","7013","0.0","7564.0","True","11551","7322770","7800","3751","0","3750","450","144066","528","150","1082064","47","1226130","51","0.0013352999999369786","0.8304837999999108","3.538075200000094","2.3447295000009944","4.370095499999934","150","0","0","47","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-scale-adaptation","hybrid_v4_2","2","20360903","018a8be4c8e2beb7","7013.0","7013","0.0","7564.0","True","11551","8157082","7800","3751","0","3750","450","229866","1393","150","1163916","159","1393782","51","0.0015914999999040447","0.7680590999998458","3.5240552000000207","2.4713410000017575","4.293874999999844","150","0","0","56","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-ACO","hybrid_v4_2","3","20360904","5bf7fdb7b4f06017","7013.0","7013","0.0","7082.999999999999","True","7951","7248172","4200","3751","0","3750","450","172593","766","150","1063813","33","1236406","27","0.0011113999998997315","0.3209119000002829","3.1564900000003036","2.111848500004726","3.4786896999999044","150","0","0","56","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-GA-init","hybrid_v4_2","3","20360904","cb3ad1c3701888fd","7013.0","7013","0.0","nan","True","3751","7126336","0","3751","0","3750","450","156999","626","150","1069303","36","1226302","0","0.0013509000000340166","1.75999998646148e-05","3.079124200000024","2.0659189999969385","3.0806500999997297","150","0","0","52","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-fixed-switch","hybrid_v4_2","3","20360904","61ba92a3430ed643","7013.0","7013","0.0","7082.999999999999","True","7951","7245900","4200","3751","0","3750","450","172025","763","150","1063813","33","1235838","27","0.0010056999999505933","0.3192368999998507","3.0448801000002277","2.0555859999958557","3.3652781000000687","150","0","0","60","fixed_control"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-rank","hybrid_v4_2","3","20360904","b0e6bafb1c7ccca0","7013.0","7013","0.0","7082.999999999999","True","7951","7199162","4200","3751","0","3750","450","136594","421","150","1079644","39","1216238","27","0.0010441999997965468","0.31690789999993285","3.024736600000324","2.030851599995003","3.3428344999997535","150","0","0","54","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-2opt","hybrid_v4_2","3","20360904","78e723797ccf93fd","7013.0","7013","0.0","7082.999999999999","True","7951","7150696","4200","3751","0","3750","0","0","0","150","1162629","269","1162629","27","0.0011185999996996543","0.3450542000000496","3.0667851000002884","2.0288828000029753","3.4131577000002835","150","0","0","50","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-no-3opt","hybrid_v4_2","3","20360904","11ac6c16f7b6eae0","7013.0","7013","0.0","7082.999999999999","True","7951","989190","4200","3751","0","3750","450","203567","1118","0","0","0","203567","27","0.0010123999995812483","0.3169677999999294","1.2796541000002435","0.28507800000124917","1.5977963999998792","150","0","0","56","entropy_trigger"
"protocol-1.1","ablation","ulysses22.tsp","22","GEO","small","MSA-nonadaptive-3opt","hybrid_v4_2","3","20360904","7a1b9435f1a6bbf1","7013.0","7013","0.0","7082.999999999999","True","7951","7248172","4200","3751","0","3750","450","172593","766","150","1063813","33","1236406","27","0.0013573999999607622","0.32183810000015","3.1186287000000448","2.079512599998907","3.442050399999971","150","0","0","56","entropy_trigger"
