instance,algorithm,reported_best,archived_minimum,reconciled_minimum,status
burma14.tsp,ACS,3336.0,3336.0,3336.0,MATCH
burma14.tsp,MMAS,3336.0,3336.0,3336.0,MATCH
burma14.tsp,MSA-ACO,3323.0,3323.0,3323.0,MATCH
ulysses22.tsp,ACS,7045.0,7045.0,7045.0,MATCH
ulysses22.tsp,MMAS,7013.0,7013.0,7013.0,MATCH
ulysses22.tsp,MSA-ACO,7013.0,7013.0,7013.0,MATCH
bayg29.tsp,ACS,1634.0,1634.0,1634.0,MATCH
bayg29.tsp,MMAS,1670.0,1670.0,1670.0,MATCH
bayg29.tsp,MSA-ACO,1610.0,1610.0,1610.0,MATCH
swiss42.tsp,ACS,1273.0,1273.0,1273.0,MATCH
swiss42.tsp,MMAS,1293.0,1293.0,1293.0,MATCH
swiss42.tsp,MSA-ACO,1273.0,1273.0,1273.0,MATCH
att48.tsp,ACS,33599.0,33599.0,33599.0,MATCH
att48.tsp,MMAS,35195.0,35195.0,35195.0,MATCH
att48.tsp,MSA-ACO,33522.0,33522.0,33522.0,MATCH
eil51.tsp,ACS,428.0,428.0,428.0,MATCH
eil51.tsp,MMAS,438.0,438.0,438.0,MATCH
eil51.tsp,MSA-ACO,426.0,426.0,426.0,MATCH
berlin52.tsp,ACS,7547.0,7547.0,7547.0,MATCH
berlin52.tsp,MMAS,7547.0,7547.0,7547.0,MATCH
berlin52.tsp,MSA-ACO,7542.0,7542.0,7542.0,MATCH
st70.tsp,ACS,682.0,682.0,682.0,MATCH
st70.tsp,MMAS,703.0,703.0,703.0,MATCH
st70.tsp,MSA-ACO,675.0,675.0,675.0,MATCH
eil76.tsp,ACS,542.0,542.0,542.0,MATCH
eil76.tsp,MMAS,560.0,560.0,560.0,MATCH
eil76.tsp,MSA-ACO,538.0,538.0,538.0,MATCH
rat99.tsp,ACS,1222.0,1222.0,1222.0,MATCH
rat99.tsp,MMAS,1289.0,1289.0,1289.0,MATCH
rat99.tsp,MSA-ACO,1211.0,1211.0,1211.0,MATCH
kroA100.tsp,ACS,21666.0,21666.0,21666.0,MATCH
kroA100.tsp,MMAS,22503.0,22503.0,22503.0,MATCH
kroA100.tsp,MSA-ACO,21282.0,21282.0,21282.0,MATCH
kroB100.tsp,ACS,22375.0,22375.0,22375.0,MATCH
kroB100.tsp,MMAS,22499.0,22499.0,22499.0,MATCH
kroB100.tsp,MSA-ACO,22141.0,22141.0,22141.0,MATCH
kroC100.tsp,ACS,20943.0,20943.0,20943.0,MATCH
kroC100.tsp,MMAS,21396.0,21396.0,21396.0,MATCH
kroC100.tsp,MSA-ACO,20749.0,20749.0,20749.0,MATCH
kroD100.tsp,ACS,21710.0,21710.0,21710.0,MATCH
kroD100.tsp,MMAS,22290.0,22290.0,22290.0,MATCH
kroD100.tsp,MSA-ACO,21294.0,21294.0,21294.0,MATCH
kroE100.tsp,ACS,22349.0,22349.0,22349.0,MATCH
kroE100.tsp,MMAS,23192.0,23192.0,23192.0,MATCH
kroE100.tsp,MSA-ACO,22068.0,22068.0,22068.0,MATCH
eil101.tsp,ACS,642.0,642.0,642.0,MATCH
eil101.tsp,MMAS,690.0,690.0,690.0,MATCH
eil101.tsp,MSA-ACO,629.0,629.0,629.0,MATCH
lin105.tsp,ACS,14489.0,14489.0,14489.0,MATCH
lin105.tsp,MMAS,14788.0,14788.0,14788.0,MATCH
lin105.tsp,MSA-ACO,14379.0,14379.0,14379.0,MATCH
pr107.tsp,ACS,45626.0,45626.0,45626.0,MATCH
pr107.tsp,MMAS,45488.0,45488.0,45488.0,MATCH
pr107.tsp,MSA-ACO,44303.0,44303.0,44303.0,MATCH
bier127.tsp,ACS,121247.0,121247.0,121247.0,MATCH
bier127.tsp,MMAS,123317.0,123317.0,123317.0,MATCH
bier127.tsp,MSA-ACO,118282.0,118282.0,118282.0,MATCH
ch130.tsp,ACS,6228.0,6228.0,6228.0,MATCH
ch130.tsp,MMAS,6364.0,6364.0,6364.0,MATCH
ch130.tsp,MSA-ACO,6115.0,6131.0,6115.0,RECOVERED_FROM_MANUSCRIPT
gr137.tsp,ACS,70309.0,70309.0,70309.0,MATCH
gr137.tsp,MMAS,73840.0,73840.0,73840.0,MATCH
gr137.tsp,MSA-ACO,69856.0,69856.0,69856.0,MATCH
ch150.tsp,ACS,6694.0,6694.0,6694.0,MATCH
ch150.tsp,MMAS,6761.0,6761.0,6761.0,MATCH
ch150.tsp,MSA-ACO,6528.0,6528.0,6528.0,MATCH
kroB150.tsp,ACS,27461.0,27461.0,27461.0,MATCH
kroB150.tsp,MMAS,27986.0,27986.0,27986.0,MATCH
kroB150.tsp,MSA-ACO,26160.0,26160.0,26160.0,MATCH
kroA150.tsp,ACS,28643.0,28643.0,28643.0,MATCH
kroA150.tsp,MMAS,27870.0,27870.0,27870.0,MATCH
kroA150.tsp,MSA-ACO,26601.0,26601.0,26601.0,MATCH
