Instance,Strategy,SwitchReason,SwitchIteration,RunCount
ulysses22.tsp,Entropy-triggered,entropy_trigger,47,1
ulysses22.tsp,Entropy-triggered,entropy_trigger,51,3
ulysses22.tsp,Entropy-triggered,entropy_trigger,52,7
ulysses22.tsp,Entropy-triggered,entropy_trigger,54,2
ulysses22.tsp,Entropy-triggered,entropy_trigger,55,1
ulysses22.tsp,Entropy-triggered,entropy_trigger,56,1
ulysses22.tsp,Fixed,fixed_control,60,15
ulysses22.tsp,Random,random_control,48,1
ulysses22.tsp,Random,random_control,50,1
ulysses22.tsp,Random,random_control,53,1
ulysses22.tsp,Random,random_control,54,1
ulysses22.tsp,Random,random_control,57,1
ulysses22.tsp,Random,random_control,58,1
ulysses22.tsp,Random,random_control,61,1
ulysses22.tsp,Random,random_control,63,1
ulysses22.tsp,Random,random_control,65,1
ulysses22.tsp,Random,random_control,67,1
ulysses22.tsp,Random,random_control,71,1
ulysses22.tsp,Random,random_control,72,1
ulysses22.tsp,Random,random_control,73,2
ulysses22.tsp,Random,random_control,75,1
ulysses22.tsp,Disabled,disabled_control,150,15
st70.tsp,Entropy-triggered,entropy_trigger,47,3
st70.tsp,Entropy-triggered,entropy_trigger,48,1
st70.tsp,Entropy-triggered,entropy_trigger,49,1
st70.tsp,Entropy-triggered,entropy_trigger,52,2
st70.tsp,Entropy-triggered,entropy_trigger,53,2
st70.tsp,Entropy-triggered,entropy_trigger,55,1
st70.tsp,Entropy-triggered,entropy_trigger,56,2
st70.tsp,Entropy-triggered,entropy_trigger,57,2
st70.tsp,Entropy-triggered,entropy_trigger,58,1
st70.tsp,Fixed,fixed_control,60,15
st70.tsp,Random,random_control,47,1
st70.tsp,Random,random_control,51,1
st70.tsp,Random,random_control,52,1
st70.tsp,Random,random_control,53,1
st70.tsp,Random,random_control,54,1
st70.tsp,Random,random_control,55,2
st70.tsp,Random,random_control,57,1
st70.tsp,Random,random_control,60,1
st70.tsp,Random,random_control,61,1
st70.tsp,Random,random_control,62,2
st70.tsp,Random,random_control,66,1
st70.tsp,Random,random_control,72,1
st70.tsp,Random,random_control,75,1
st70.tsp,Disabled,disabled_control,150,15
kroC100.tsp,Entropy-triggered,entropy_trigger,77,4
kroC100.tsp,Entropy-triggered,entropy_trigger,79,1
kroC100.tsp,Entropy-triggered,entropy_trigger,80,3
kroC100.tsp,Entropy-triggered,entropy_trigger,82,2
kroC100.tsp,Entropy-triggered,entropy_trigger,84,1
kroC100.tsp,Entropy-triggered,entropy_trigger,85,1
kroC100.tsp,Entropy-triggered,entropy_trigger,86,1
kroC100.tsp,Entropy-triggered,entropy_trigger,88,1
kroC100.tsp,Entropy-triggered,entropy_trigger,97,1
kroC100.tsp,Fixed,fixed_control,105,15
kroC100.tsp,Random,random_control,82,1
kroC100.tsp,Random,random_control,83,1
kroC100.tsp,Random,random_control,85,1
kroC100.tsp,Random,random_control,91,2
kroC100.tsp,Random,random_control,93,1
kroC100.tsp,Random,random_control,95,1
kroC100.tsp,Random,random_control,100,2
kroC100.tsp,Random,random_control,103,1
kroC100.tsp,Random,random_control,111,1
kroC100.tsp,Random,random_control,112,1
kroC100.tsp,Random,random_control,123,1
kroC100.tsp,Random,random_control,133,2
kroC100.tsp,Disabled,disabled_control,300,15
kroA150.tsp,Entropy-triggered,forced_at_window_end,135,15
kroA150.tsp,Fixed,fixed_control,105,15
kroA150.tsp,Random,random_control,80,2
kroA150.tsp,Random,random_control,82,1
kroA150.tsp,Random,random_control,89,1
kroA150.tsp,Random,random_control,93,1
kroA150.tsp,Random,random_control,96,1
kroA150.tsp,Random,random_control,99,1
kroA150.tsp,Random,random_control,101,1
kroA150.tsp,Random,random_control,110,1
kroA150.tsp,Random,random_control,113,2
kroA150.tsp,Random,random_control,117,1
kroA150.tsp,Random,random_control,118,1
kroA150.tsp,Random,random_control,129,1
kroA150.tsp,Random,random_control,130,1
kroA150.tsp,Disabled,disabled_control,300,15
