Instance,Reference,Ablated configuration,Paired runs,Mean difference (reference-ablation),Wilcoxon p,Holm-adjusted p,Rank-biserial correlation,Reference mean 95% CI
ulysses22,MSA-ACO,MSA-no-GA-init,15,0.0,1.0,1.0,0.0,"[7013.00, 7013.00]"
ulysses22,MSA-ACO,MSA-fixed-switch,15,0.0,1.0,1.0,0.0,"[7013.00, 7013.00]"
ulysses22,MSA-ACO,MSA-no-rank,15,0.0,1.0,1.0,0.0,"[7013.00, 7013.00]"
ulysses22,MSA-ACO,MSA-no-2opt,15,0.0,1.0,1.0,0.0,"[7013.00, 7013.00]"
ulysses22,MSA-ACO,MSA-no-3opt,15,0.0,1.0,1.0,0.0,"[7013.00, 7013.00]"
ulysses22,MSA-ACO,MSA-nonadaptive-3opt,15,0.0,1.0,1.0,0.0,"[7013.00, 7013.00]"
ulysses22,MSA-ACO,MSA-no-scale-adaptation,15,0.0,1.0,1.0,0.0,"[7013.00, 7013.00]"
st70,MSA-ACO,MSA-no-GA-init,15,-0.2,0.625,1.0,-0.3333333333333333,"[675.00, 675.73]"
st70,MSA-ACO,MSA-fixed-switch,15,-0.9333333333333333,0.046875,0.984375,-0.8333333333333334,"[675.00, 675.73]"
st70,MSA-ACO,MSA-no-rank,15,-1.7333333333333334,0.00048828125,0.01220703125,-1.0,"[675.00, 675.73]"
st70,MSA-ACO,MSA-no-2opt,15,0.0,0.84375,1.0,0.027777777777777776,"[675.00, 675.73]"
st70,MSA-ACO,MSA-no-3opt,15,-0.8666666666666667,0.0643310546875,1.0,-0.5523809523809524,"[675.00, 675.73]"
st70,MSA-ACO,MSA-nonadaptive-3opt,15,-0.26666666666666666,0.5,1.0,-0.6,"[675.00, 675.73]"
st70,MSA-ACO,MSA-no-scale-adaptation,15,-0.3333333333333333,0.40625,1.0,-0.42857142857142855,"[675.00, 675.73]"
kroC100,MSA-ACO,MSA-no-GA-init,15,0.0,1.0,1.0,0.0,"[20749.00, 20749.00]"
kroC100,MSA-ACO,MSA-fixed-switch,15,0.0,1.0,1.0,0.0,"[20749.00, 20749.00]"
kroC100,MSA-ACO,MSA-no-rank,15,-1.6,0.5,1.0,-1.0,"[20749.00, 20749.00]"
kroC100,MSA-ACO,MSA-no-2opt,15,0.0,1.0,1.0,0.0,"[20749.00, 20749.00]"
kroC100,MSA-ACO,MSA-no-3opt,15,-3.2666666666666666,1.0,1.0,-1.0,"[20749.00, 20749.00]"
kroC100,MSA-ACO,MSA-nonadaptive-3opt,15,0.0,1.0,1.0,0.0,"[20749.00, 20749.00]"
kroC100,MSA-ACO,MSA-no-scale-adaptation,15,0.0,1.0,1.0,0.0,"[20749.00, 20749.00]"
kroA150,MSA-ACO,MSA-no-GA-init,15,-35.0,0.02655029296875,0.5841064453125,-0.6416666666666667,"[26584.47, 26619.07]"
kroA150,MSA-ACO,MSA-fixed-switch,15,-8.666666666666666,0.48834228515625,1.0,-0.21666666666666667,"[26584.47, 26619.07]"
kroA150,MSA-ACO,MSA-no-rank,15,-52.733333333333334,0.00152587890625,0.03509521484375,-0.8666666666666667,"[26584.47, 26619.07]"
kroA150,MSA-ACO,MSA-no-2opt,15,-49.86666666666667,0.00054931640625,0.01318359375,-0.9166666666666666,"[26584.47, 26619.07]"
kroA150,MSA-ACO,MSA-no-3opt,15,-237.66666666666666,6.103515625e-05,0.001708984375,-1.0,"[26584.47, 26619.07]"
kroA150,MSA-ACO,MSA-nonadaptive-3opt,15,-61.0,6.103515625e-05,0.001708984375,-1.0,"[26584.47, 26619.07]"
kroA150,MSA-ACO,MSA-no-scale-adaptation,15,-113.6,0.00030517578125,0.0079345703125,-0.95,"[26584.47, 26619.07]"
